freq,unit,age,geo,flags,TIME_PERIOD,values
A,NR,TOTAL,AL,,1975,11422
A,NR,TOTAL,AL,,1980,15912
A,NR,TOTAL,AL,,1981,15693
A,NR,TOTAL,AL,,1982,16289
A,NR,TOTAL,AL,,1983,17756
A,NR,TOTAL,AL,,1984,18908
A,NR,TOTAL,AL,,1985,20489
A,NR,TOTAL,AL,,1986,20838
A,NR,TOTAL,AL,,1987,20815
A,NR,TOTAL,AL,,1988,24053
A,NR,TOTAL,AL,,1989,23352
A,NR,TOTAL,AL,,1990,26112
A,NR,TOTAL,AL,,1991,30408
A,NR,TOTAL,AL,,1992,27745
A,NR,TOTAL,AL,,1993,33441
A,NR,TOTAL,AL,,1994,31292
A,NR,TOTAL,AL,,1995,32588
A,NR,TOTAL,AL,,1996,27734
A,NR,TOTAL,AL,,2005,9403
A,NR,TOTAL,AL,,2014,5572
A,NR,TOTAL,AL,,2015,5619
A,NR,TOTAL,AL,,2017,1000
A,NR,TOTAL,AL,,2018,1147
A,NR,TOTAL,AL,,2019,837
A,NR,TOTAL,AL,,2020,873
A,NR,TOTAL,AL,,2022,676
A,NR,TOTAL,AL,,2023,702
A,NR,TOTAL,AM,,2006,11132
A,NR,TOTAL,AM,,2007,11501
A,NR,TOTAL,AM,,2008,12469
A,NR,TOTAL,AM,,2009,13797
A,NR,TOTAL,AM,,2014,11892
A,NR,TOTAL,AM,,2015,11104
A,NR,TOTAL,AM,,2016,10448
A,NR,TOTAL,AM,,2017,10006
A,NR,TOTAL,AM,,2018,10404
A,NR,TOTAL,AM,,2020,10718
A,NR,TOTAL,AM,,2022,9873
A,NR,TOTAL,AM,,2023,8921
A,NR,TOTAL,AT,,1960,18926
A,NR,TOTAL,AT,,1965,18685
A,NR,TOTAL,AT,,1970,15613
A,NR,TOTAL,AT,,1975,26433
A,NR,TOTAL,AT,,1980,23394
A,NR,TOTAL,AT,,1984,19242
A,NR,TOTAL,AT,,1985,17907
A,NR,TOTAL,AT,,1986,16846
A,NR,TOTAL,AT,,1987,15547
A,NR,TOTAL,AT,,1988,15082
A,NR,TOTAL,AZ,,2006,20864
A,NR,TOTAL,AZ,,2007,22323
A,NR,TOTAL,AZ,,2009,24554
A,NR,TOTAL,AZ,,2010,26799
A,NR,TOTAL,AZ,,2012,31037
A,NR,TOTAL,AZ,,2013,27892
A,NR,TOTAL,AZ,,2014,27220
A,NR,TOTAL,AZ,,2015,27452
A,NR,TOTAL,AZ,,2016,34569
A,NR,TOTAL,AZ,,2017,34569
A,NR,TOTAL,AZ,,2018,36141
A,NR,TOTAL,AZ,,2020,34712
A,NR,TOTAL,AZ,,2021,46871
A,NR,TOTAL,BE,,1992,10332
A,NR,TOTAL,BE,,1993,10721
A,NR,TOTAL,BE,,1994,11224
A,NR,TOTAL,BE,,1998,11999
A,NR,TOTAL,BE,,1999,12734
A,NR,TOTAL,BE,,2000,13762
A,NR,TOTAL,BE,,2001,14775
A,NR,TOTAL,BE,,2002,14791
A,NR,TOTAL,BE,,2003,15595
A,NR,TOTAL,BE,,2004,16024
A,NR,TOTAL,BE,,2005,16696
A,NR,TOTAL,BE,,2007,18033
A,NR,TOTAL,BE,,2008,18304
A,NR,TOTAL,BE,,2009,18870
A,NR,TOTAL,BE,,2010,19095
A,NR,TOTAL,BE,,2011,19578
A,NR,TOTAL,BG,,1960,143155
A,NR,TOTAL,BG,,1961,169060
A,NR,TOTAL,BG,,1962,95842
A,NR,TOTAL,BG,,1963,101309
A,NR,TOTAL,BG,,1964,112310
A,NR,TOTAL,BG,,1965,116079
A,NR,TOTAL,BG,,1966,121060
A,NR,TOTAL,BG,,1967,129972
A,NR,TOTAL,BG,,1968,113755
A,NR,TOTAL,BG,,1969,129852
A,NR,TOTAL,BG,,1970,142511
A,NR,TOTAL,BG,,1971,153687
A,NR,TOTAL,BG,,1972,154715
A,NR,TOTAL,BG,,1973,137439
A,NR,TOTAL,BG,,1974,144509
A,NR,TOTAL,BG,,1975,143450
A,NR,TOTAL,BG,,1976,142267
A,NR,TOTAL,BG,,1977,141917
A,NR,TOTAL,BG,,1978,147974
A,NR,TOTAL,BG,,1979,148084
A,NR,TOTAL,BG,,1980,156056
A,NR,TOTAL,BG,,1981,152531
A,NR,TOTAL,BG,,1982,147976
A,NR,TOTAL,BG,,1983,134413
A,NR,TOTAL,BG,,1984,131322
A,NR,TOTAL,BG,,1985,132269
A,NR,TOTAL,BG,,1986,134964
A,NR,TOTAL,BG,,1987,134097
A,NR,TOTAL,BG,,1988,133147
A,NR,TOTAL,BG,,1989,132021
A,NR,TOTAL,BG,,1990,144644
A,NR,TOTAL,BG,,1991,138405
A,NR,TOTAL,BG,,1992,132087
A,NR,TOTAL,BG,,1993,106863
A,NR,TOTAL,BG,,1994,97567
A,NR,TOTAL,BG,,1995,97092
A,NR,TOTAL,BG,,1996,98490
A,NR,TOTAL,BG,,1999,72382
A,NR,TOTAL,BG,,2000,61378
A,NR,TOTAL,BG,,2001,51165
A,NR,TOTAL,BG,,2002,50824
A,NR,TOTAL,BG,,2003,48035
A,NR,TOTAL,BG,,2004,47223
A,NR,TOTAL,BG,,2005,41795
A,NR,TOTAL,BG,,2006,37272
A,NR,TOTAL,BG,,2007,37594
A,NR,TOTAL,BG,,2008,36593
A,NR,TOTAL,BG,,2009,33733
A,NR,TOTAL,BG,,2010,31548
A,NR,TOTAL,BG,,2011,31716
A,NR,TOTAL,BG,,2012,29992
A,NR,TOTAL,BG,,2013,29505
A,NR,TOTAL,BG,,2014,28145
A,NR,TOTAL,BG,,2015,27782
A,NR,TOTAL,BG,,2016,26412
A,NR,TOTAL,BG,,2017,24287
A,NR,TOTAL,BG,,2018,23437
A,NR,TOTAL,BG,,2019,21864
A,NR,TOTAL,BG,,2020,19328
A,NR,TOTAL,BG,,2021,19353
A,NR,TOTAL,BY,,2006,58516
A,NR,TOTAL,BY,,2007,46285
A,NR,TOTAL,BY,,2008,42197
A,NR,TOTAL,BY,,2009,35967
A,NR,TOTAL,BY,,2011,32031
A,NR,TOTAL,BY,,2012,28628
A,NR,TOTAL,BY,,2013,31206
A,NR,TOTAL,BY,,2014,29797
A,NR,TOTAL,BY,,2015,29217
A,NR,TOTAL,BY,,2016,27467
A,NR,TOTAL,BY,,2017,25249
A,NR,TOTAL,BY,,2018,23305
A,NR,TOTAL,CH,,2007,10035
A,NR,TOTAL,CH,,2008,10310
A,NR,TOTAL,CH,,2009,10137
A,NR,TOTAL,CH,,2010,10650
A,NR,TOTAL,CH,,2011,10694
A,NR,TOTAL,CH,,2012,10531
A,NR,TOTAL,CH,,2013,10137
A,NR,TOTAL,CH,,2014,9990
A,NR,TOTAL,CH,,2015,10054
A,NR,TOTAL,CH,,2016,10085
A,NR,TOTAL,CH,,2017,9863
A,NR,TOTAL,CH,,2018,10263
A,NR,TOTAL,CH,,2019,9069
A,NR,TOTAL,CH,,2020,10775
A,NR,TOTAL,CZ,,1960,67550
A,NR,TOTAL,CZ,,1961,70062
A,NR,TOTAL,CZ,,1962,66031
A,NR,TOTAL,CZ,,1963,51470
A,NR,TOTAL,CZ,,1964,51524
A,NR,TOTAL,CZ,,1965,58554
A,NR,TOTAL,CZ,,1966,65818
A,NR,TOTAL,CZ,,1967,69850
A,NR,TOTAL,CZ,,1968,72488
A,NR,TOTAL,CZ,,1969,74263
A,NR,TOTAL,CZ,,1970,71893
A,NR,TOTAL,CZ,,1971,68652
A,NR,TOTAL,CZ,,1972,65079
A,NR,TOTAL,CZ,,1973,55898
A,NR,TOTAL,CZ,,1974,56969
A,NR,TOTAL,CZ,,1975,55511
A,NR,TOTAL,CZ,,1976,56889
A,NR,TOTAL,CZ,,1977,61114
A,NR,TOTAL,CZ,,1978,63904
A,NR,TOTAL,CZ,,1979,64505
A,NR,TOTAL,CZ,,1980,68930
A,NR,TOTAL,CZ,,1981,71574
A,NR,TOTAL,CZ,,1982,74531
A,NR,TOTAL,CZ,,1983,75037
A,NR,TOTAL,CZ,,1984,79534
A,NR,TOTAL,CZ,,1985,83042
A,NR,TOTAL,CZ,,1986,83564
A,NR,TOTAL,CZ,,1987,109626
A,NR,TOTAL,CZ,,1988,113730
A,NR,TOTAL,CZ,,1989,111683
A,NR,TOTAL,CZ,,1990,111268
A,NR,TOTAL,CZ,,1991,106042
A,NR,TOTAL,CZ,,1992,94180
A,NR,TOTAL,CZ,,1993,70634
A,NR,TOTAL,CZ,,1994,54836
A,NR,TOTAL,CZ,,1995,49531
A,NR,TOTAL,CZ,,1996,48086
A,NR,TOTAL,CZ,,1997,45022
A,NR,TOTAL,CZ,,1998,42959
A,NR,TOTAL,CZ,,1999,39382
A,NR,TOTAL,CZ,,2000,34623
A,NR,TOTAL,CZ,,2001,32528
A,NR,TOTAL,CZ,,2002,31142
A,NR,TOTAL,CZ,,2003,29298
A,NR,TOTAL,CZ,,2004,27574
A,NR,TOTAL,CZ,,2005,26453
A,NR,TOTAL,CZ,,2006,25352
A,NR,TOTAL,CZ,,2007,25414
A,NR,TOTAL,CZ,,2008,25760
A,NR,TOTAL,CZ,,2009,24636
A,NR,TOTAL,CZ,,2010,23998
A,NR,TOTAL,CZ,,2011,24055
A,NR,TOTAL,CZ,,2012,23032
A,NR,TOTAL,CZ,,2013,22714
A,NR,TOTAL,CZ,,2014,21893
A,NR,TOTAL,CZ,,2015,20403
A,NR,TOTAL,CZ,,2016,20406
A,NR,TOTAL,CZ,,2017,19415
A,NR,TOTAL,CZ,,2018,18298
A,NR,TOTAL,CZ,,2019,17757
A,NR,TOTAL,CZ,,2020,16886
A,NR,TOTAL,CZ,,2021,15492
A,NR,TOTAL,CZ,,2022,16438
A,NR,TOTAL,CZ,,2023,15088
A,NR,TOTAL,DE,,1977,134454
A,NR,TOTAL,DE,,1978,152635
A,NR,TOTAL,DE,,1979,167923
A,NR,TOTAL,DE,,1980,179805
