Comunidad Autónoma ;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Andalucía;10,59;10,38;10,38;11,29;11,98;10,85;11,18;12,06;12,5;12,67
Aragón;9,53;9,13;9,34;9,19;9,03;8,5;8,72;8,92;8,4;8,15
Asturias, Principado de;12,51;12,32;12,73;12,65;13,03;12,03;11,5;12,45;13,15;12,89
Baleares, Illes;13,03;13,3;13,94;13,92;13,88;11,87;11,56;12,83;13,99;13,87
Canarias;11,58;11,41;11,29;11,56;12,1;10,88;10,61;10,76;11,89;12,11
Cantabria;8,8;8,01;7,55;7,75;8,45;7,89;8,68;9,2;9,61;10,52
Castilla - La Mancha;7,38;7,31;7,48;7,99;8,66;8;8,9;9,21;9,94;9,83
Castilla y León;6,33;6,05;6,21;6,6;7,05;6,56;7,17;7,95;8,66;8,92
Cataluña;12,7;12,8;12,89;14,05;14,72;13,44;13,42;14,87;14,92;14,89
C. Valenciana;7,85;7,87;8,06;9,17;9,47;8,38;9,02;9,66;10,3;10,74
Extremadura;5,89;6,15;6,06;6,71;6,43;6,43;7,1;7,51;7,6;8,48
Galicia;6,6;6,57;6,51;6,5;6,41;5,71;5,37;7,09;7,28;8,78
Madrid, Comunidad de;12,54;12,51;13,07;12,74;13,05;10,94;11,9;12,89;13,92;13,56
Murcia, Región de;11,07;10,82;10,99;11,68;12,07;11,25;11,46;12,26;12,83;12,66
Navarra, Comunidad Foral de;8;8,08;7,88;7,88;8,31;7,66;8,39;9,2;9,14;8,7
País Vasco;9,57;9,87;9,98;10,03;10,47;9,58;10,39;11,38;11,92;11,84
La Rioja;5,64;6,04;6,09;6,91;6,18;5,86;6,17;6,71;8,25;9,15
Ceuta y Melilla, Ciudades Autónomas;3,72;5,06;4,8;3,5;2,26;1,94;1,79;3,82;4,08;4,65
Total;10,4;10,36;10,51;11,12;11,53;10,33;10,7;11,68;12,22;12,36
