;;;life_risk; physical_health;rape_incest;fetal_impairment;medical_authorization;judicial_consent_minors;husband_consent;criminal_charge;post_abortion_law;contradictory_legal_systems;age_limit;marital_status_restriction;third_party_authorization
;Region, subregion or country* ;Country code;Please indicate the legal grounds on which abortion in currently permitted in the country;;;;;;;;Does the Government have any law(s) or regulation(s) that ensure access to post-abortion care, irrespective of the legal status of abortion?;If the Government has any law(s) or regulation(s) that ensure access to post-abortion care, irrespective of the legal status of abortion, are there any contradicting plural legal systems?;Does the Government have any law(s) or regulation(s) that restrict access to post-abortion care services based on any of the following characteristics?;;
;AFRICA;903;;;;;;;;;;;Age;Marital Status;3rd party authorization (e.g. spousal, parental/guardian, medical)
;Eastern Africa;910;;;;;;;;;;;;;
;Burundi;108;;;;;;;;;;;;;
;Comoros;174;;;;;;;;;;;;;
;Djibouti;262;—;—;—;—;—;—;—;—;—;—;—;—;—
;Eritrea;232;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;..;..;..
;Ethiopia;231;—;—;—;—;—;—;—;—;—;—;—;—;—
;Kenya;404;—;—;—;—;—;—;—;—;—;—;—;—;—
;Madagascar;450;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;No
;Malawi;454;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No;No;No;No
;Mauritius;480;—;—;—;—;—;—;—;—;—;—;—;—;—
;Mozambique;508;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No;No;No;No
;Rwanda;646;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No
;Seychelles;690;Yes;Yes;..;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No
;Somalia;706;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No
;South Sudan;728;—;—;—;—;—;—;—;—;—;—;—;—;—
;Uganda;800;—;—;—;—;—;—;—;—;—;—;—;—;—
;United Republic of Tanzania;834;—;—;—;—;—;—;—;—;—;—;—;—;—
;Zambia;894;—;—;—;—;—;—;—;—;—;—;—;—;—
;Zimbabwe;716;—;—;—;—;—;—;—;—;—;—;—;—;—
;Middle Africa;911;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;No;Yes
;Angola;24;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No
;Cameroon;120;;;;;;;;;;;;;
;Central African Republic;140;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Not Applicable;Not Applicable;Not Applicable;Not Applicable
;Chad;148;—;—;—;—;—;—;—;—;—;—;—;—;—
;Congo;178;—;—;—;—;—;—;—;—;—;—;—;—;—
;Democratic Republic of the Congo;180;No;No;No;Yes;No;No;No;Yes;Yes;Yes;No;No;No
;Equatorial Guinea;226;—;—;—;—;—;—;—;—;—;—;—;—;—
;Gabon;266;—;—;—;—;—;—;—;—;—;—;—;—;—
;Sao Tome and Principe;678;—;—;—;—;—;—;—;—;—;—;—;—;—
;Northern Africa;912;—;—;—;—;—;—;—;—;—;—;—;—;—
;Algeria;12;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Not Applicable;Not Applicable;Not Applicable;Not Applicable
;Egypt;818;;;;;;;;;;;;;
;Libya;434;—;—;—;—;—;—;—;—;—;—;—;—;—
;Morocco;504;Yes;Yes;No;No;Yes;..;Yes;Yes;Yes;No;No;No;No
;Sudan;729;—;—;—;—;—;—;—;—;—;—;—;—;—
;Tunisia;788;Yes;Yes;No;No;..;..;..;Yes;Yes;No;No;No;No
;Southern Africa;913;—;—;—;—;—;—;—;—;—;—;—;—;—
;Botswana;72;—;—;—;—;—;—;—;—;—;—;—;—;—
;Eswatini;748;;;;;;;;;;;;;
;Lesotho;426;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No
;Namibia;516;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;No;No;No;No
;South Africa;710;—;—;—;—;—;—;—;—;—;—;—;—;—
;Western Africa;914;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No
;Benin;204;—;—;—;—;—;—;—;—;—;—;—;—;—
;Burkina Faso;854;;;;;;;;;;;;;
;Cabo Verde;132;—;—;—;—;—;—;—;—;—;—;—;—;—
;Côte d'Ivoire;384;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;No;No;No
;Gambia;270;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;No;No;No;No
;Ghana;288;Yes;Yes;No;Yes;No;No;No;Yes;Yes;No;No;No;No
;Guinea;324;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;No
;Guinea-Bissau;624;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;No;No;No
;Liberia;430;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No
